都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
12,千葉県,12221,八千代市,754 ,5 ,18 ,777 ,209 ,221 ,430 ,146 ,64 ,12 ,0 ,222 ,20 ,"1,449 "
12,千葉県,12222,我孫子市,64 ,3 ,2 ,70 ,126 ,155 ,281 ,105 ,32 ,8 ,0 ,145 ,9 ,505 
12,千葉県,12223,鴨川市,62 ,2 ,9 ,73 ,70 ,43 ,114 ,38 ,40 ,2 ,0 ,81 ,6 ,274 
12,千葉県,12224,鎌ヶ谷市,113 ,4 ,0 ,118 ,93 ,125 ,218 ,83 ,35 ,7 ,0 ,124 ,6 ,465 
12,千葉県,12225,君津市,"3,085 ",9 ,21 ,"3,115 ",124 ,102 ,226 ,108 ,86 ,5 ,19 ,219 ,0 ,"3,560 "
12,千葉県,12226,富津市,477 ,4 ,12 ,494 ,62 ,53 ,115 ,57 ,57 ,3 ,118 ,234 ,0 ,843 
12,千葉県,12227,浦安市,320 ,4 ,0 ,324 ,394 ,200 ,594 ,88 ,37 ,10 ,0 ,135 ,22 ,"1,074 "
12,千葉県,12228,四街道市,65 ,4 ,1 ,70 ,86 ,99 ,185 ,85 ,42 ,5 ,0 ,132 ,7 ,393 
12,千葉県,12229,袖ヶ浦市,"3,973 ",4 ,13 ,"3,991 ",78 ,67 ,145 ,70 ,67 ,4 ,47 ,188 ,0 ,"4,324 "
12,千葉県,12230,八街市,144 ,4 ,9 ,157 ,74 ,82 ,155 ,90 ,83 ,5 ,0 ,178 ,10 ,500 
12,千葉県,12231,印西市,69 ,3 ,24 ,96 ,116 ,90 ,206 ,84 ,59 ,5 ,0 ,149 ,9 ,460 
12,千葉県,12232,白井市,451 ,2 ,3 ,456 ,61 ,64 ,124 ,52 ,34 ,4 ,0 ,90 ,7 ,677 
12,千葉県,12233,富里市,152 ,2 ,15 ,170 ,60 ,57 ,117 ,65 ,50 ,3 ,0 ,118 ,6 ,411 
12,千葉県,12234,南房総市,50 ,3 ,26 ,78 ,49 ,48 ,97 ,44 ,54 ,3 ,0 ,100 ,2 ,277 
12,千葉県,12235,匝瑳市,201 ,3 ,27 ,231 ,50 ,39 ,90 ,50 ,61 ,2 ,0 ,114 ,4 ,438 
12,千葉県,12236,香取市,229 ,5 ,31 ,265 ,105 ,82 ,187 ,107 ,110 ,5 ,0 ,222 ,12 ,686 
12,千葉県,12237,山武市,383 ,3 ,12 ,397 ,57 ,61 ,118 ,72 ,72 ,3 ,0 ,148 ,7 ,670 
12,千葉県,12238,いすみ市,113 ,2 ,15 ,131 ,45 ,46 ,91 ,47 ,48 ,3 ,0 ,98 ,3 ,322 
12,千葉県,12239,大網白里市,38 ,2 ,6 ,46 ,38 ,55 ,92 ,55 ,34 ,3 ,0 ,92 ,7 ,237 
12,千葉県,12322,酒々井町,61 ,1 ,3 ,65 ,18 ,25 ,43 ,23 ,12 ,1 ,0 ,36 ,2 ,146 
12,千葉県,12329,栄町,133 ,1 ,2 ,135 ,20 ,24 ,44 ,26 ,14 ,1 ,0 ,42 ,1 ,223 
12,千葉県,12342,神崎町,105 ,0 ,1 ,106 ,5 ,6 ,12 ,8 ,6 ,0 ,0 ,15 ,1 ,134 
12,千葉県,12347,多古町,174 ,1 ,13 ,189 ,23 ,15 ,38 ,22 ,31 ,1 ,0 ,54 ,1 ,282 
12,千葉県,12349,東庄町,50 ,1 ,16 ,66 ,12 ,14 ,25 ,19 ,20 ,1 ,0 ,40 ,2 ,134 
12,千葉県,12403,九十九里町,118 ,1 ,7 ,126 ,15 ,20 ,35 ,23 ,20 ,1 ,0 ,44 ,3 ,207 
12,千葉県,12409,芝山町,142 ,1 ,7 ,150 ,26 ,8 ,34 ,12 ,20 ,0 ,0 ,32 ,2 ,217 
12,千葉県,12410,横芝光町,135 ,2 ,6 ,143 ,23 ,26 ,49 ,31 ,33 ,2 ,0 ,66 ,3 ,260 
12,千葉県,12421,一宮町,19 ,0 ,1 ,21 ,14 ,14 ,28 ,14 ,12 ,1 ,0 ,27 ,1 ,77 
12,千葉県,12422,睦沢町,23 ,0 ,2 ,25 ,7 ,7 ,14 ,9 ,9 ,0 ,0 ,19 ,1 ,59 
12,千葉県,12423,長生村,150 ,1 ,4 ,155 ,12 ,15 ,27 ,19 ,17 ,1 ,0 ,37 ,1 ,220 
12,千葉県,12424,白子町,64 ,1 ,9 ,75 ,10 ,13 ,23 ,16 ,16 ,1 ,0 ,32 ,1 ,132 
12,千葉県,12426,長柄町,164 ,0 ,1 ,166 ,9 ,8 ,18 ,11 ,15 ,0 ,0 ,26 ,1 ,210 
12,千葉県,12427,長南町,155 ,0 ,4 ,159 ,10 ,9 ,18 ,13 ,14 ,1 ,0 ,27 ,1 ,205 
