,coal_2013,gasoline_2013,gas_2013,re_heat_2013,waste_2013,hydrogen_methane_2013,grid_power_2013,self_pv_consumption_non_post_FIT_2013,private_power_generation_2013,total_2013,total_non_graduated_FIT_inc_2013,coal_2030,gasoline_2030,gas_2030,re_heat_2030,waste_2030,hydrogen_methane_2030,grid_power_2030,self_pv_consumption_non_post_FIT_2030,private_power_generation_2030,total_2030,total_non_graduated_FIT_inc_2030,coal_2040,gasoline_2040,gas_2040,re_heat_2040,waste_2040,hydrogen_methane_2040,grid_power_2040,self_pv_consumption_non_post_FIT_2040,private_power_generation_2040,total_2040,total_non_graduated_FIT_inc_2040,coal_2050,gasoline_2050,gas_2050,re_heat_2050,waste_2050,hydrogen_methane_2050,grid_power_2050,self_pv_consumption_non_post_FIT_2050,private_power_generation_2050,total_2050,total_non_graduated_FIT_inc_2050,commune_name,commune_code
1423,3193.475536147408,156278.0970939381,95.15217272932794,6.001591855194506e-08,36.72332301513512,0.0,106555.15844396657,0.0,0.0,266158.6065697965,266158.6065697965,999.1852406672618,100524.33962380377,37.650795654026325,0.0,2.100499555193893,0.0,38029.10878317613,0.0,2.508248158081419,139594.89319101447,124724.82677824955,1110.332573209034,51786.831517758015,34.212131431648956,0.0,1.5801576038775973,0.0,21200.683918096693,0.0,2946.2701745779523,77079.9104726772,70458.22689435001,1420.4485824197968,16806.36342149054,43.76758396422843,0.0,1.472849144437149,0.0,10018.87882061866,0.0,2358.051308431604,30648.982566069266,14532.989173889082,西予市,1438.0
1424,67.74014079894133,126810.73546266892,0.0,9.745871429425526e-09,21.993173778418626,0.0,127480.79016255813,0.0,0.0,254381.2589398044,254381.2589398044,51.85232675208423,81742.85930120356,6.80866798501452,0.0,0.25607658283603135,0.0,39692.315592154635,0.0,1.9594106655775816,121496.05137534368,114798.85056422804,-8.639250095734701e-05,43795.38951162082,0.0,0.0,0.21131934305600897,0.0,17948.739200296248,0.0,2260.3056688944644,64004.645613762084,60134.75078671534,-7.559343833767865e-05,15622.84031240963,0.0,0.0,0.17955134824192787,0.0,13773.100379397918,0.0,1808.2602104008965,31204.38037796325,23320.680207424728,東温市,1439.0
1425,24.731889221673875,21125.19632509974,0.0,1.4105884862584378e-09,8.34944570090044,0.0,25824.16821932296,0.0,0.0,46982.44587934528,46982.44587934528,18.92889990651607,12635.70074919031,1.9362620584708878,0.0,0.19065054175271576,0.0,8668.474545333935,0.0,0.8465237884804448,21326.07763081946,19435.36198888508,-0.0015998611288397591,5709.521672530782,0.0,0.0,0.14413411785888655,0.0,5432.4987963488,0.0,255.59456028753124,11397.757563423844,9949.581572565188,-0.0013998784877347894,1173.2784403458206,0.0,0.0,0.11194888341692717,0.0,3108.6551590593704,0.0,204.4824204203329,4486.5265688304535,2263.6217121501836,越智郡上島町,1440.0
1426,11.827630535164358,42351.77753122021,0.0,2.160204744827104e-09,3.8171322197509396,0.0,25614.333513525275,0.0,0.0,67981.75580750039,67981.75580750039,9.053593505755629,26738.61279067322,2.3371082966139674,0.0,0.01860154994388144,0.0,10383.790670087199,0.0,1.2187023506571923,37135.03146646339,30467.368971241995,0.0,13363.430591432962,0.0,0.0,0.015470417187970362,0.0,6127.738141882298,0.0,500.98745980399815,19992.171663536443,13642.352358643708,0.0,3707.855153666859,0.0,0.0,0.012411633037143554,0.0,3408.044873992875,0.0,400.79971746200385,7516.712156754776,-11464.752393819144,上浮穴郡久万高原町,1441.0
1427,73.11633094069617,295738.1408652763,0.0,2.747281605572397e-08,66.60827636103032,0.0,272359.1965203936,0.0,0.0,568237.0619929716,568237.0619929716,55.96760189166798,200779.56696329478,6.145916724971516,0.0,10.788261089038821,0.0,129129.8262552521,0.0,3.99179751981727,329986.2867957724,325426.0173937262,-7.999305644198797e-05,140772.00767901127,0.0,0.0,9.1557751096728,0.0,55066.00305133354,0.0,93141.81947025268,288988.98589571414,286181.70083168725,-6.999392438673947e-05,98167.9159878381,0.0,0.0,7.936137437256609,0.0,43109.47433751488,0.0,74513.48751058232,215798.8139033786,211438.96155770286,伊予郡松前町,1442.0
1428,40.85908730329505,74837.43641839206,0.0,1.0511189757445341e-08,13.231323657392696,0.0,60231.038724045706,0.0,0.0,135122.56555339845,135122.56555339845,31.27605029261035,51187.50232413444,4.3175048259403175,0.0,0.19117577036915978,0.0,19475.851190495316,0.0,1.7842678127885243,70700.92251333148,68262.02632191783,0.0,26553.63182805251,0.0,0.0,0.17854992207458045,0.0,7101.6929390322475,0.0,2638.5624850435456,36294.06580205038,34676.166408937876,0.0,9276.77488285708,0.0,0.0,0.16742510230806368,0.0,3365.0841944923777,0.0,2110.8642621773397,14752.890764629106,12962.418559963182,伊予郡砥部町,1443.0
1429,143.0068055615327,74956.69648922118,0.0,8.898403992763183e-09,45.18698956173191,0.0,49422.23194881974,0.0,0.0,124567.12223316418,124567.12223316418,109.46617602413625,47490.24635675333,3.4649374691387886,0.0,0.17463784819526473,0.0,19887.780321297007,0.0,1.988601141042425,67493.12103053284,64072.16733337576,0.0,23798.615578405334,0.0,0.0,0.14277567255202456,0.0,12935.876116098909,0.0,1874.0836841236558,38608.71815430045,34145.09257244222,0.0,7209.779395969956,0.0,0.0,0.1191718230355414,0.0,5911.270485473721,0.0,1499.2828561080532,14620.451909374766,5763.068164094922,喜多郡内子町,1444.0
1430,81.71818849670794,57813.17243501064,0.0,3.5555184377343103e-09,25.2949292803334,0.0,31718.337975613653,0.0,0.0,89638.52352840133,89638.52352840133,62.55208717462006,-97342.01762143982,2.3716328405684903,0.0,0.007098342965143777,0.0,60837.31634092405,0.0,3.03216063891056,-36436.7383015187,-93967.9464104902,-1.599861128839759e-05,-228471.72159917024,0.0,0.0,0.006024575564302282,0.0,229609.2557158571,0.0,649.5589264806739,1787.0990517444998,-5334.645066518459,-1.3998784877347892e-05,-291001.9251203387,0.0,0.0,0.004937074806438816,0.0,127005.45373080239,0.0,519.6713984696504,-163476.7950679906,-180755.50124837362,西宇和郡伊方町,1445.0
1431,6.451434837362377,14712.095651148169,0.0,1.0488460214547485e-09,2.003829370101768,0.0,9363.402283909194,0.0,0.0,24083.953199264826,24083.953199264826,4.938323730412161,9841.280590569659,0.9676327633981134,0.0,0.0012389059309157676,0.0,3278.385317829565,0.0,0.4378571319726439,13126.010960930937,12084.864675582447,0.0,4794.758914759308,0.0,0.0,0.0011318798614199258,0.0,1406.4419164087506,0.0,245.4480695150953,6446.650032563015,3747.6117008591596,0.0,1264.7137489664165,0.0,0.0,0.0009901113616571577,0.0,895.6488590452851,0.0,196.36195846913205,2356.725556592195,-811.7085807834897,北宇和郡松野町,1446.0
1432,62.363870094502964,43332.176229462064,0.0,4.448095343637196e-09,19.29244555642913,0.0,29331.895469216113,0.0,0.0,72745.7280143291,72745.7280143291,47.737129393984226,28451.066425490215,2.4681624626974332,0.0,0.004157349523601324,0.0,10477.164888036119,0.0,1.3391130619496694,38979.779875794484,33463.52870165574,0.0,14210.295431700873,0.0,0.0,0.0038803055699073506,0.0,4825.047889636777,0.0,955.9575850384701,19991.304786681692,10470.014993710627,0.0,4103.4024303566885,0.0,0.0,0.0034554018180868074,0.0,2726.3752640857138,0.0,764.7767809352716,7594.557930779492,159.28673631851052,北宇和郡鬼北町,1447.0
