,coal_2013,gasoline_2013,gas_2013,re_heat_2013,waste_2013,hydrogen_methane_2013,grid_power_2013,self_pv_consumption_non_post_FIT_2013,private_power_generation_2013,total_2013,coal_2030,gasoline_2030,gas_2030,re_heat_2030,waste_2030,hydrogen_methane_2030,grid_power_2030,self_pv_consumption_non_post_FIT_2030,private_power_generation_2030,total_2030,coal_2040,gasoline_2040,gas_2040,re_heat_2040,waste_2040,hydrogen_methane_2040,grid_power_2040,self_pv_consumption_non_post_FIT_2040,private_power_generation_2040,total_2040,coal_2050,gasoline_2050,gas_2050,re_heat_2050,waste_2050,hydrogen_methane_2050,grid_power_2050,self_pv_consumption_non_post_FIT_2050,private_power_generation_2050,total_2050,commune_name,commune_code
224,1605.885283834115,2383868.506693336,0.0,19078.284896304238,61104.84660507599,0.0,586814.7834921806,0.0,203137.49399083966,3255609.800961571,1229.2280780803678,1473168.5408164714,468.3346038133842,30445.970563404415,194.6750095681345,9.557849057416005,734756.6886230266,31851.805627328205,209860.00416948035,2481984.805340231,-0.00995940040469784,771412.4366425364,0.0,49311.750735355716,170.08909414177703,0.0,612684.6021725266,48680.60428869123,237469.77981622098,1719729.2527900725,-0.008714475354110608,290932.34097732365,0.0,32493.266194157346,148.24297845308104,77578.56,517601.5439016518,61814.25599778809,131233.42759716584,1111801.6289320644,久慈市,239.0
225,6919.459624735231,1857286.0725251206,0.0,10368.016612776155,25134.48747233976,0.0,469557.7986432591,0.0,132841.17319826025,2502107.008076491,3088.022262873503,1156975.499945708,1157.9717655002,19023.8332565401,843.7707014117914,23.63207684694286,580441.2454894548,13643.284438898258,131840.0158760967,1907037.2758133307,2931.4347244568216,593151.2019168072,0.0,34903.206624242535,647.54809491285,-40.63347482910856,506003.3490581061,20763.725631477457,143208.72581446916,1301568.5583896432,2345.1477795654578,203711.1199448768,0.0,24355.6372859709,508.26598207004946,23570.73305034178,448672.7378033826,25346.46823290635,82940.76948900851,811450.8795681223,遠野市,240.0
226,2888539.434818417,6926349.703168053,1119088.1294557543,736384.4074925584,573167.6775199403,0.0,2304972.3387470194,0.0,1589294.9186922673,16137796.609894007,1559808.293786084,4099138.2008206723,833597.4924335091,1079143.382382177,1809427.4133475835,16656.477557495113,2666606.3112938683,109377.96293633504,1166800.515509386,13340556.05006711,941401.73191368,1884810.7132692365,795119.2970746395,1144375.5338741292,1064482.0904191632,194471.6535655814,1949167.1947333599,167716.96861105686,1138134.1970215735,9279679.380482418,394038.7869664072,372596.3385165286,474580.28392080805,1163005.981081359,376167.9870982443,878380.1198794185,1588999.5024670903,211787.22323751065,668036.0561791674,6127592.279346535,一関市,241.0
227,359.0782817527199,1195902.9019720012,0.0,7541.2316873310865,14284.58185449857,0.0,236629.94061977556,0.0,81475.63701913768,1536193.3714344967,274.8600525110992,758411.0231780473,226.6260202063329,11972.732317146521,150.79970628975337,4.625020820537406,282649.07055954944,24979.798250102976,83533.59057983964,1162203.1256845135,-0.0003178532044052504,381614.1546761203,0.0,22014.716194182238,129.85498353080004,0.0,223712.9110138033,39542.22280142005,97903.25906055543,764917.1184117589,-0.0002781215538545941,127107.71970899869,0.0,15518.157883817825,111.42353465897133,0.0,172506.488358155,52286.28411726383,56079.31477894867,423609.38810372143,陸前高田市,242.0
228,74164.5543415531,1904562.6794392224,352788.4120035525,18139.558749804026,45235.632886594976,0.0,795178.3891327821,0.0,215837.7660739271,3405906.9926274363,15441.323593449533,1073970.6196778012,339836.88527002826,19075.588532231443,1442.732693291887,6935.446638163843,853453.1194287987,17268.481136254886,228329.0919744697,2555753.28894449,14658.430720904007,304455.51866548153,387667.26658744976,21173.60996931348,1261.3656723339607,96916.81664686244,629394.7665214193,26796.621110657525,253354.27662215967,1735678.6725165816,14568.233124031056,24534.04533784309,221577.27574808933,17862.36591661757,1118.1571890676257,560273.9157480893,524289.3880751723,33426.42775079721,135156.62345381518,1532806.4323435228,釜石市,243.0
229,1536.0561896203149,2003326.8024492408,0.0,17144.274567375916,57784.725873214215,0.0,446202.7120858744,0.0,180929.46626185384,2706924.0374271795,1175.7910979480735,1277537.8771750946,356.8840359384158,24378.257831581224,62.933108619189426,7.283347672212568,565126.7377939076,13128.606244711915,185716.80464133533,2067491.1752768087,-0.0003178532044052504,657211.2210850071,0.0,36257.6242556833,57.573197727162615,0.0,488625.8776632568,20064.854753442647,212033.2057782311,1414250.3564154948,-0.0002781215538545941,229103.1962393609,0.0,22850.829136109325,52.506127281871194,0.0,427348.7558320528,24844.20944119795,113158.48527063822,817357.9817685195,二戸市,244.0
230,1137.0804129937167,2001155.2058169406,0.0,16593.277957572012,44506.27380575635,0.0,484317.6912020641,0.0,181458.06112087733,2729167.5903162044,870.3909507904829,1273298.5323037817,317.8359171107187,25719.11468314875,373.0438206511517,6.486447287973852,609531.0479243502,15163.91538884386,178913.59447866806,2104193.961914633,-7.063404542338892e-05,667092.3364673709,0.0,38241.471260198196,318.5365394319542,0.0,529155.1674991427,22890.673237966304,206060.86573063707,1463759.0506641131,-6.18047897454653e-05,239754.58553978364,0.0,24845.91772063802,276.1748200291448,108326.15999999999,457960.0041324808,27895.87793781402,114952.59166745954,974011.3117564004,八幡平市,245.0
231,3161.8913554043056,6687480.515189852,1324433.3334697124,48711.08133269346,135965.03158536073,0.0,2006422.8425280764,0.0,607960.5827699894,10814135.27823109,2420.2881280046154,4338250.362222248,649792.7827476343,64664.97269244051,4775.9572953081,12893.20828946396,2258543.964884226,82926.18603342376,615616.9989457391,8029884.721238488,-0.01154866642672409,2015563.2324137772,405610.6855347998,104251.78390321374,4013.0597562713283,96896.27724272487,1942518.707936973,125773.21864226024,678396.9516899153,5373023.905571269,-0.010105083123383578,463755.36161095195,204488.52776933828,66205.04041262297,3448.382279335273,210114.95120543794,1687023.9868516726,152237.0599134199,360288.6625885352,3147561.9625262315,奥州市,246.0
232,1037.3564224666245,2089131.7559435074,37469.33058793521,7029.629413814052,40918.15541631733,0.0,457740.35907068424,0.0,91911.21454280446,2725237.8013975294,794.021649214406,1390348.0434645333,11225.797930653327,22288.690880266466,532.7105816452245,200.43280712348368,453448.8428183048,30369.9728258089,99965.89195067127,2009174.4049082214,-0.022991381785313094,632806.2126705621,9273.557417424976,54806.32254092622,422.4205251372874,1967.2417589555878,423027.27088763943,48460.89813418157,104089.90375538456,1274853.8046988298,-0.02011745906214896,133432.71997775088,6322.694778991594,38644.422596224045,343.65838855549373,4918.104397388969,351734.4688881008,65585.624586939,52755.84676723075,653737.5202637225,岩手郡雫石町,247.0
233,528.6426196354452,1410560.6563000197,0.0,10393.393304435847,19963.99143081247,0.0,198624.74679255177,0.0,119077.17537093506,1759148.6058183904,404.65546956067493,793391.2161941674,85.75107229712485,13349.102035840147,21.389700850269083,1.750021883614793,362652.0831934716,12242.14801148499,106609.87618264633,1288757.971882202,0.0,397546.64623279765,0.0,10864.213672759184,17.77657980330796,0.0,329234.83477080974,18673.54976622833,126580.40278192473,882917.423804323,0.0,136614.4299975019,0.0,9097.915352120097,14.832735656590327,118165.392,283252.7420065618,23271.67326644894,74993.49890636365,645410.484264653,岩手郡葛巻町,248.0
