都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
24,三重県,24471,大紀町,19 ,1 ,10 ,30 ,13 ,17 ,30 ,11 ,12 ,1 ,0 ,24 ,0 ,85 
24,三重県,24472,南伊勢町,3 ,2 ,16 ,20 ,19 ,26 ,45 ,16 ,18 ,1 ,4 ,38 ,1 ,105 
24,三重県,24543,紀北町,15 ,2 ,8 ,26 ,28 ,35 ,63 ,20 ,20 ,1 ,1 ,43 ,0 ,131 
24,三重県,24561,御浜町,5 ,1 ,10 ,15 ,14 ,17 ,31 ,10 ,15 ,1 ,0 ,25 ,0 ,72 
24,三重県,24562,紀宝町,47 ,1 ,6 ,53 ,12 ,22 ,34 ,13 ,13 ,1 ,1 ,28 ,0 ,115 
25,滋賀県,25201,大津市,264 ,17 ,15 ,295 ,561 ,567 ,"1,128 ",291 ,134 ,26 ,14 ,465 ,50 ,"1,939 "
25,滋賀県,25202,彦根市,467 ,7 ,10 ,483 ,199 ,181 ,380 ,125 ,70 ,9 ,1 ,204 ,17 ,"1,085 "
25,滋賀県,25203,長浜市,370 ,9 ,18 ,397 ,201 ,180 ,380 ,144 ,112 ,9 ,4 ,269 ,12 ,"1,058 "
25,滋賀県,25204,近江八幡市,136 ,5 ,7 ,149 ,126 ,128 ,254 ,89 ,57 ,6 ,0 ,152 ,2 ,557 
25,滋賀県,25206,草津市,472 ,8 ,7 ,487 ,246 ,213 ,460 ,113 ,57 ,10 ,0 ,180 ,21 ,"1,148 "
25,滋賀県,25207,守山市,149 ,4 ,2 ,156 ,116 ,117 ,233 ,79 ,42 ,6 ,0 ,128 ,7 ,523 
25,滋賀県,25208,栗東市,257 ,5 ,13 ,275 ,126 ,102 ,228 ,72 ,48 ,5 ,0 ,126 ,8 ,637 
25,滋賀県,25209,甲賀市,559 ,6 ,21 ,586 ,146 ,135 ,281 ,113 ,85 ,7 ,0 ,205 ,8 ,"1,080 "
25,滋賀県,25210,野洲市,200 ,2 ,4 ,206 ,77 ,76 ,153 ,54 ,36 ,4 ,0 ,94 ,5 ,458 
25,滋賀県,25211,湖南市,359 ,3 ,11 ,372 ,78 ,89 ,168 ,69 ,39 ,4 ,0 ,112 ,5 ,657 
25,滋賀県,25212,高島市,85 ,4 ,15 ,104 ,78 ,81 ,159 ,57 ,59 ,4 ,0 ,120 ,8 ,391 
25,滋賀県,25213,東近江市,482 ,8 ,13 ,503 ,152 ,169 ,321 ,137 ,107 ,9 ,0 ,253 ,18 ,"1,095 "
25,滋賀県,25214,米原市,313 ,2 ,7 ,323 ,48 ,56 ,104 ,48 ,37 ,3 ,0 ,88 ,3 ,519 
