都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
4 ,宮城県,4606,南三陸町,25 ,1 ,5 ,32 ,11 ,13 ,24 ,13 ,20 ,1 ,0 ,34 ,0 ,89 ,
5 ,秋田県,5201,秋田市,393 ,30 ,33 ,456 ,560 ,624 ,"1,184 ",299 ,183 ,19 ,68 ,570 ,37 ,"2,246 ",
5 ,秋田県,5202,能代市,53 ,6 ,21 ,80 ,78 ,105 ,182 ,50 ,50 ,3 ,2 ,106 ,8 ,376 ,
5 ,秋田県,5203,横手市,176 ,10 ,43 ,229 ,121 ,147 ,268 ,86 ,98 ,6 ,0 ,190 ,8 ,695 ,
5 ,秋田県,5204,大館市,215 ,9 ,23 ,246 ,98 ,136 ,234 ,68 ,65 ,4 ,0 ,137 ,11 ,629 ,
5 ,秋田県,5206,男鹿市,19 ,4 ,9 ,32 ,32 ,55 ,87 ,26 ,27 ,2 ,2 ,57 ,4 ,180 ,
5 ,秋田県,5207,湯沢市,72 ,6 ,19 ,96 ,58 ,77 ,135 ,43 ,47 ,3 ,0 ,92 ,5 ,328 ,
5 ,秋田県,5209,鹿角市,33 ,4 ,13 ,51 ,39 ,56 ,95 ,28 ,37 ,2 ,0 ,67 ,4 ,217 ,
5 ,秋田県,5210,由利本荘市,290 ,10 ,30 ,330 ,94 ,132 ,226 ,76 ,71 ,5 ,0 ,152 ,8 ,716 ,
5 ,秋田県,5211,潟上市,65 ,3 ,5 ,73 ,29 ,60 ,89 ,33 ,25 ,2 ,0 ,60 ,4 ,226 ,
5 ,秋田県,5212,大仙市,101 ,11 ,42 ,154 ,106 ,136 ,242 ,81 ,91 ,5 ,0 ,176 ,6 ,578 ,
5 ,秋田県,5213,北秋田市,39 ,4 ,21 ,63 ,39 ,60 ,100 ,29 ,33 ,2 ,0 ,63 ,5 ,231 ,
5 ,秋田県,5214,にかほ市,170 ,2 ,7 ,179 ,24 ,40 ,65 ,25 ,20 ,2 ,0 ,47 ,4 ,294 ,
5 ,秋田県,5215,仙北市,25 ,4 ,13 ,42 ,34 ,46 ,79 ,25 ,28 ,2 ,0 ,55 ,8 ,184 ,
5 ,秋田県,5303,小坂町,42 ,1 ,8 ,51 ,6 ,10 ,16 ,5 ,6 ,0 ,0 ,11 ,1 ,78 ,
5 ,秋田県,5327,上小阿仁村,1 ,0 ,4 ,5 ,2 ,5 ,7 ,2 ,2 ,0 ,0 ,4 ,0 ,16 ,
5 ,秋田県,5346,藤里町,0 ,0 ,4 ,5 ,3 ,6 ,9 ,3 ,4 ,0 ,0 ,7 ,0 ,21 ,
5 ,秋田県,5348,三種町,8 ,3 ,9 ,20 ,13 ,30 ,43 ,15 ,23 ,1 ,0 ,40 ,2 ,104 ,
5 ,秋田県,5349,八峰町,5 ,1 ,6 ,12 ,6 ,13 ,19 ,6 ,9 ,0 ,0 ,16 ,1 ,48 ,
5 ,秋田県,5361,五城目町,8 ,1 ,6 ,14 ,10 ,17 ,27 ,9 ,8 ,1 ,0 ,18 ,1 ,60 ,
5 ,秋田県,5363,八郎潟町,3 ,0 ,2 ,5 ,5 ,11 ,16 ,6 ,6 ,0 ,0 ,12 ,1 ,34 ,
