都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
29,奈良県,29441,吉野町,7 ,1 ,2 ,10 ,10 ,11 ,21 ,12 ,13 ,1 ,0 ,26 ,1 ,57 
29,奈良県,29442,大淀町,6 ,1 ,2 ,10 ,18 ,22 ,40 ,23 ,21 ,1 ,0 ,45 ,1 ,97 
29,奈良県,29443,下市町,5 ,0 ,0 ,5 ,6 ,8 ,14 ,9 ,10 ,0 ,0 ,19 ,0 ,39 
29,奈良県,29444,黒滝村,0 ,0 ,0 ,0 ,1 ,1 ,2 ,1 ,2 ,0 ,0 ,4 ,0 ,6 
29,奈良県,29446,天川村,0 ,0 ,1 ,1 ,3 ,2 ,6 ,2 ,4 ,0 ,0 ,7 ,0 ,14 
29,奈良県,29447,野迫川村,0 ,0 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,0 ,0 ,2 ,0 ,6 
29,奈良県,29449,十津川村,0 ,1 ,1 ,2 ,4 ,6 ,10 ,5 ,8 ,0 ,0 ,13 ,1 ,26 
29,奈良県,29450,下北山村,0 ,0 ,2 ,3 ,1 ,2 ,3 ,2 ,3 ,0 ,0 ,4 ,0 ,10 
29,奈良県,29451,上北山村,0 ,0 ,2 ,3 ,1 ,1 ,2 ,1 ,2 ,0 ,0 ,3 ,0 ,8 
29,奈良県,29452,川上村,1 ,0 ,2 ,3 ,2 ,3 ,5 ,3 ,4 ,0 ,0 ,7 ,0 ,16 
29,奈良県,29453,東吉野村,1 ,0 ,3 ,5 ,2 ,3 ,5 ,3 ,5 ,0 ,0 ,9 ,0 ,19 
30,和歌山県,30201,和歌山市,"5,144 ",19 ,10 ,"5,173 ",520 ,567 ,"1,087 ",387 ,285 ,23 ,37 ,731 ,75 ,"7,067 "
30,和歌山県,30202,海南市,881 ,3 ,5 ,888 ,68 ,79 ,146 ,60 ,59 ,4 ,37 ,159 ,6 ,"1,199 "
30,和歌山県,30203,橋本市,112 ,2 ,9 ,124 ,59 ,89 ,148 ,69 ,53 ,4 ,0 ,127 ,9 ,407 
30,和歌山県,30204,有田市,"2,653 ",3 ,15 ,"2,671 ",36 ,40 ,76 ,34 ,37 ,2 ,37 ,109 ,4 ,"2,860 "
30,和歌山県,30205,御坊市,71 ,2 ,3 ,77 ,49 ,36 ,85 ,27 ,34 ,2 ,1 ,63 ,3 ,228 
30,和歌山県,30206,田辺市,145 ,6 ,18 ,170 ,116 ,123 ,240 ,83 ,108 ,5 ,1 ,197 ,9 ,615 
30,和歌山県,30207,新宮市,54 ,3 ,6 ,63 ,63 ,57 ,120 ,33 ,35 ,2 ,4 ,74 ,4 ,262 
30,和歌山県,30208,紀の川市,366 ,3 ,33 ,402 ,56 ,86 ,142 ,78 ,94 ,4 ,0 ,176 ,4 ,723 
30,和歌山県,30209,岩出市,34 ,1 ,1 ,36 ,39 ,67 ,107 ,58 ,33 ,3 ,0 ,94 ,4 ,241 
30,和歌山県,30304,紀美野町,38 ,1 ,4 ,43 ,8 ,17 ,25 ,13 ,17 ,1 ,0 ,31 ,0 ,99 
30,和歌山県,30341,かつらぎ町,94 ,1 ,9 ,105 ,16 ,25 ,41 ,21 ,31 ,1 ,0 ,54 ,0 ,200 
30,和歌山県,30343,九度山町,4 ,0 ,1 ,5 ,4 ,7 ,11 ,6 ,8 ,0 ,0 ,14 ,0 ,30 
30,和歌山県,30344,高野町,4 ,0 ,1 ,5 ,10 ,7 ,17 ,5 ,6 ,0 ,0 ,11 ,1 ,34 
30,和歌山県,30361,湯浅町,24 ,1 ,8 ,34 ,20 ,20 ,40 ,14 ,17 ,1 ,0 ,32 ,0 ,106 
30,和歌山県,30362,広川町,32 ,1 ,9 ,41 ,5 ,9 ,15 ,8 ,12 ,0 ,0 ,21 ,0 ,77 
30,和歌山県,30366,有田川町,111 ,3 ,16 ,129 ,31 ,34 ,65 ,30 ,53 ,2 ,0 ,85 ,3 ,282 
30,和歌山県,30381,美浜町,17 ,1 ,0 ,17 ,5 ,11 ,16 ,8 ,7 ,1 ,1 ,16 ,1 ,51 
30,和歌山県,30382,日高町,10 ,1 ,18 ,28 ,5 ,9 ,14 ,7 ,10 ,0 ,2 ,19 ,1 ,63 
30,和歌山県,30383,由良町,68 ,1 ,3 ,72 ,6 ,9 ,16 ,7 ,8 ,0 ,2 ,18 ,1 ,106 
30,和歌山県,30390,印南町,62 ,1 ,4 ,67 ,6 ,11 ,18 ,9 ,18 ,1 ,0 ,28 ,1 ,114 
30,和歌山県,30391,みなべ町,115 ,1 ,1 ,117 ,13 ,16 ,30 ,14 ,31 ,1 ,0 ,46 ,1 ,194 
30,和歌山県,30392,日高川町,61 ,1 ,9 ,72 ,8 ,15 ,23 ,11 ,20 ,1 ,0 ,32 ,1 ,128 
30,和歌山県,30401,白浜町,29 ,1 ,12 ,43 ,40 ,38 ,78 ,25 ,26 ,1 ,0 ,52 ,3 ,176 
30,和歌山県,30404,上富田町,65 ,1 ,1 ,67 ,13 ,21 ,34 ,16 ,20 ,1 ,0 ,37 ,1 ,139 
30,和歌山県,30406,すさみ町,14 ,0 ,1 ,15 ,5 ,9 ,13 ,4 ,7 ,0 ,0 ,12 ,0 ,41 
30,和歌山県,30421,那智勝浦町,11 ,1 ,6 ,17 ,28 ,30 ,58 ,19 ,18 ,1 ,6 ,44 ,2 ,122 
30,和歌山県,30422,太地町,3 ,0 ,4 ,7 ,3 ,6 ,9 ,3 ,3 ,0 ,0 ,6 ,0 ,22 
30,和歌山県,30424,古座川町,0 ,0 ,3 ,4 ,4 ,6 ,10 ,3 ,6 ,0 ,0 ,9 ,0 ,22 
30,和歌山県,30427,北山村,0 ,0 ,0 ,0 ,1 ,1 ,2 ,1 ,1 ,0 ,0 ,1 ,0 ,3 
30,和歌山県,30428,串本町,14 ,1 ,20 ,35 ,25 ,33 ,58 ,18 ,21 ,1 ,2 ,43 ,0 ,136 
31,鳥取県,31201,鳥取市,516 ,23 ,47 ,586 ,415 ,429 ,843 ,222 ,183 ,12 ,2 ,419 ,16 ,"1,863 "
31,鳥取県,31202,米子市,274 ,19 ,13 ,305 ,353 ,354 ,707 ,170 ,140 ,9 ,0 ,320 ,18 ,"1,350 "
31,鳥取県,31203,倉吉市,82 ,7 ,11 ,99 ,123 ,118 ,241 ,58 ,65 ,3 ,0 ,126 ,3 ,470 
31,鳥取県,31204,境港市,62 ,3 ,65 ,130 ,62 ,85 ,147 ,41 ,34 ,2 ,10 ,87 ,5 ,369 
31,鳥取県,31302,岩美町,24 ,1 ,30 ,55 ,10 ,25 ,35 ,15 ,13 ,1 ,0 ,29 ,0 ,119 
31,鳥取県,31325,若桜町,4 ,0 ,0 ,4 ,4 ,9 ,14 ,5 ,5 ,0 ,0 ,10 ,0 ,28 
31,鳥取県,31328,智頭町,7 ,1 ,1 ,9 ,9 ,17 ,25 ,9 ,11 ,1 ,0 ,21 ,0 ,55 
31,鳥取県,31329,八頭町,7 ,2 ,18 ,26 ,13 ,34 ,47 ,22 ,23 ,1 ,0 ,45 ,0 ,119 
31,鳥取県,31364,三朝町,2 ,1 ,1 ,4 ,15 ,16 ,31 ,8 ,9 ,0 ,0 ,17 ,1 ,52 
31,鳥取県,31370,湯梨浜町,7 ,1 ,17 ,24 ,20 ,33 ,53 ,18 ,20 ,1 ,0 ,39 ,1 ,117 
31,鳥取県,31371,琴浦町,38 ,3 ,1 ,43 ,30 ,37 ,67 ,21 ,30 ,1 ,0 ,53 ,1 ,164 
31,鳥取県,31372,北栄町,11 ,2 ,8 ,21 ,18 ,30 ,47 ,18 ,28 ,1 ,0 ,47 ,1 ,117 
31,鳥取県,31384,日吉津村,2 ,1 ,3 ,5 ,13 ,5 ,18 ,4 ,4 ,0 ,0 ,8 ,0 ,32 
